"fecha";"Run Fondo";"Serie";"Período";"Rentabilidad"
2023-07-03;"8795";APV1;"6M";0.4376356149653515
2023-07-03;"8795";APV1;"1Y";0.2556455716574386
2023-07-03;"8795";APV1;YTD;0.29852478370452395
2023-07-04;"8795";APV1;"1M";0.14960643004004814
2023-07-04;"8795";APV1;"3M";0.3271608474274714
2023-07-04;"8795";APV1;"6M";0.3681655263320569
2023-07-04;"8795";APV1;"1Y";0.25864787912170795
2023-07-04;"8795";APV1;YTD;0.2691086596234742
2023-07-05;"8795";APV1;"1M";0.13345650874175674
2023-07-05;"8795";APV1;"3M";0.3548879383777539
2023-07-05;"8795";APV1;"6M";0.3008102825327734
2023-07-05;"8795";APV1;"1Y";0.25981977879837603
2023-07-05;"8795";APV1;YTD;0.2742885609985941
2023-07-06;"8795";APV1;"1M";0.05140992811141465
2023-07-06;"8795";APV1;"3M";0.2818848773753828
2023-07-06;"8795";APV1;"6M";0.19640376062446796
2023-07-06;"8795";APV1;"1Y";0.15770329703560027
2023-07-06;"8795";APV1;YTD;0.22248889236487024
2023-07-07;"8795";APV1;"1M";0.11453831202192477
2023-07-07;"8795";APV1;"3M";0.3540115504195436
2023-07-07;"8795";APV1;"6M";0.26373777302011314
2023-07-07;"8795";APV1;"1Y";0.1895391157475801
2023-07-07;"8795";APV1;YTD;0.29119566075142744
2023-07-08;"8795";APV1;"1M";0.1199718467463331
2023-07-08;"8795";APV1;"3M";0.35404182924639693
2023-07-08;"8795";APV1;"6M";0.26376618122760576
2023-07-08;"8795";APV1;"1Y";0.15525400527475552
2023-07-08;"8795";APV1;YTD;0.29112936343929374
2023-07-09;"8795";APV1;"1M";0.09024876400774806
2023-07-09;"8795";APV1;"3M";0.3540565070679438
2023-07-09;"8795";APV1;"6M";0.27873857712113237
2023-07-09;"8795";APV1;"1Y";0.15527390194460722
2023-07-09;"8795";APV1;YTD;0.29104839324980825
2023-07-10;"8795";APV1;"1M";0.08544269360631374
2023-07-10;"8795";APV1;"3M";0.3067590695903153
2023-07-10;"8795";APV1;"6M";0.23673489610597032
2023-07-10;"8795";APV1;"1Y";0.1501725061139636
2023-07-10;"8795";APV1;YTD;0.28524381888555306
2023-07-11;"8795";APV1;"1M";0.10269891531247577
2023-07-11;"8795";APV1;"3M";0.25800555533538705
2023-07-11;"8795";APV1;"6M";0.22933231333677662
2023-07-11;"8795";APV1;"1Y";0.18991390093237026
2023-07-11;"8795";APV1;YTD;0.30559317413804
